line_item_id,billing_period,usage_start_date,usage_end_date,service,resource_id,usage_type,usage_amount,usage_unit,unblended_cost,currency,region,pricing_term,tag_team,tag_environment,tag_project
LI-1010,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00c5a62,BoxUsage:m5.xlarge,654.7382,Hrs,125.7097,USD,eu-central-1,OnDemand,data-platform,development,data-lake-v2
LI-1011,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00d6066,BoxUsage:m5.2xlarge,653.3061,Hrs,250.8695,USD,eu-central-1,OnDemand,,,
LI-1012,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00a4072,BoxUsage:t3.medium,701.0621,Hrs,29.1642,USD,eu-central-1,OnDemand,data-platform,production,data-lake-v2
LI-1013,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-002eab9,BoxUsage:m5.large,691.4369,Hrs,66.3779,USD,eu-central-1,OnDemand,devops,staging,infra-automation
LI-1014,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00af948,BoxUsage:m5.2xlarge,666.5655,Hrs,255.9611,USD,eu-central-1,OnDemand,,,
LI-1015,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00846d1,BoxUsage:m5.large,631.6246,Hrs,60.636,USD,eu-central-1,OnDemand,devops,,
LI-1016,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00208ce,BoxUsage:m5.xlarge,632.9829,Hrs,121.5327,USD,eu-central-1,OnDemand,,,
LI-1017,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00200ac,BoxUsage:t3.medium,657.7677,Hrs,27.3631,USD,eu-central-1,OnDemand,,,
LI-1018,2024-01,2024-01-01,2024-01-31,Amazon RDS,db-05708,InstanceUsage:db.m5.xlarge,736.0875,Hrs,169.3001,USD,eu-central-1,OnDemand,backend,,
LI-1019,2024-01,2024-01-01,2024-01-31,Amazon RDS,db-09701,InstanceUsage:db.m5.xlarge,711.9508,Hrs,163.7487,USD,eu-central-1,OnDemand,backend,dev,api-core
LI-1020,2024-01,2024-01-01,2024-01-31,Amazon RDS,db-09e2f,InstanceUsage:db.r5.2xlarge,696.9523,Hrs,334.5371,USD,eu-central-1,OnDemand,,,
LI-1021,2024-01,2024-01-01,2024-01-31,Amazon RDS,db-129cd,InstanceUsage:db.m5.xlarge,714.4945,Hrs,164.3337,USD,eu-central-1,OnDemand,data-platform,dev,data-lake-v2
LI-1022,2024-01,2024-01-01,2024-01-31,Amazon RDS,db-15b4b,InstanceUsage:db.m5.xlarge,705.5616,Hrs,162.2792,USD,eu-central-1,OnDemand,,,
LI-1023,2024-01,2024-01-01,2024-01-31,Amazon RDS,db-034a6,InstanceUsage:db.r5.2xlarge,712.6097,Hrs,342.0526,USD,eu-central-1,OnDemand,,,
LI-1024,2024-01,2024-01-01,2024-01-31,Amazon S3,technova-raw-logs,TimedStorage-ByteHrs,75833.0873,GB-Mo,1744.161,USD,eu-central-1,OnDemand,,,
LI-1025,2024-01,2024-01-01,2024-01-31,Amazon S3,technova-data-lake,TimedStorage-ByteHrs,4064.3571,GB-Mo,93.4802,USD,eu-central-1,OnDemand,,,
LI-1026,2024-01,2024-01-01,2024-01-31,Amazon S3,technova-artifacts,TimedStorage-ByteHrs,2231.4529,GB-Mo,51.3234,USD,eu-central-1,OnDemand,data-platform,prod,unknown
LI-1027,2024-01,2024-01-01,2024-01-31,Amazon S3,technova-backups,TimedStorage-ByteHrs,4869.8527,GB-Mo,112.0066,USD,eu-central-1,OnDemand,backend,production,unknown
LI-1028,2024-01,2024-01-01,2024-01-31,Amazon S3,technova-frontend-assets,TimedStorage-ByteHrs,3958.6943,GB-Mo,91.05,USD,eu-central-1,OnDemand,,,
LI-1029,2024-01,2024-01-01,2024-01-31,AWS Lambda,fn-auth-handler,Lambda-GB-Second,1152147.876,Requests,0.2304,USD,eu-central-1,OnDemand,devops,development,unknown
LI-1030,2024-01,2024-01-01,2024-01-31,AWS Lambda,fn-data-processor,Lambda-GB-Second,1261522.5119,Requests,0.2523,USD,eu-central-1,OnDemand,,,
LI-1031,2024-01,2024-01-01,2024-01-31,AWS Lambda,fn-api-gateway,Lambda-GB-Second,1762504.0223,Requests,0.3525,USD,eu-central-1,OnDemand,backend,staging,unknown
LI-1032,2024-01,2024-01-01,2024-01-31,AWS Lambda,fn-event-router,Lambda-GB-Second,1643766.2001,Requests,0.3288,USD,eu-central-1,OnDemand,devops,production,unknown
LI-1033,2024-01,2024-01-01,2024-01-31,AWS Lambda,fn-report-gen,Lambda-GB-Second,1232908.562,Requests,0.2466,USD,eu-central-1,OnDemand,,,
LI-1034,2024-01,2024-01-01,2024-01-31,Amazon CloudFront,EDIST10001,DataTransfer-Out-Bytes,7151.0531,GB,60.784,USD,eu-central-1,OnDemand,data-platform,staging,unknown
LI-1035,2024-01,2024-01-01,2024-01-31,Amazon CloudFront,EDIST10002,DataTransfer-Out-Bytes,2686.1011,GB,22.8319,USD,eu-central-1,OnDemand,backend,production,unknown
LI-1036,2024-01,2024-01-01,2024-01-31,Amazon EKS,eks-prod-cluster,AmazonEKS-Hours:perCluster,744.0,Hrs,74.4,USD,eu-central-1,OnDemand,devops,staging,unknown
LI-1037,2024-01,2024-01-01,2024-01-31,Amazon EKS,eks-staging-cluster,AmazonEKS-Hours:perCluster,744.0,Hrs,74.4,USD,eu-central-1,OnDemand,devops,staging,unknown
LI-1038,2024-01,2024-01-01,2024-01-31,Amazon ElastiCache,cache-001,NodeUsage:cache.r6g.large,713.7711,Hrs,118.486,USD,eu-central-1,OnDemand,backend,prod,unknown
LI-1039,2024-01,2024-01-01,2024-01-31,Amazon ElastiCache,cache-002,NodeUsage:cache.r6g.large,725.6287,Hrs,120.4544,USD,eu-central-1,OnDemand,,,
LI-1040,2024-01,2024-01-01,2024-01-31,Amazon ElastiCache,cache-003,NodeUsage:cache.r6g.large,708.0384,Hrs,117.5344,USD,eu-central-1,OnDemand,backend,staging,unknown
LI-1041,2024-01,2024-01-01,2024-01-31,AWS Data Transfer,data-transfer-main,DataTransfer-Out-Internet,1256.1036,GB,113.0493,USD,eu-central-1,OnDemand,,,
LI-1042,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00bc1b7,BoxUsage:m5.large,772.4266,Hrs,74.1529,USD,eu-central-1,OnDemand,,,
LI-1043,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-0034ea3,BoxUsage:m5.xlarge,856.3535,Hrs,164.4199,USD,eu-central-1,OnDemand,,,
LI-1044,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-001ed11,BoxUsage:m5.xlarge,891.0642,Hrs,171.0843,USD,eu-central-1,OnDemand,backend,production,api-core
LI-1045,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00d6404,BoxUsage:m5.large,773.8127,Hrs,74.286,USD,eu-central-1,OnDemand,backend,staging,api-core
LI-1046,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-005ed25,BoxUsage:m5.large,755.2445,Hrs,72.5035,USD,eu-central-1,OnDemand,backend,prod,api-core
LI-1047,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00571b3,BoxUsage:m5.large,815.0388,Hrs,78.2437,USD,eu-central-1,OnDemand,backend,dev,api-core
LI-1048,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00518e5,BoxUsage:m5.2xlarge,748.5712,Hrs,287.4513,USD,eu-central-1,OnDemand,data-platform,development,data-lake-v2
LI-1049,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-003c22c,BoxUsage:c5.4xlarge,804.2224,Hrs,546.8713,USD,eu-central-1,OnDemand,data-platform,production,data-lake-v2
LI-1050,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00d4f36,BoxUsage:m5.xlarge,742.6484,Hrs,142.5885,USD,eu-central-1,OnDemand,data-platform,production,data-lake-v2
LI-1051,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-0032a71,BoxUsage:m5.2xlarge,765.6585,Hrs,294.0129,USD,eu-central-1,OnDemand,data-platform,staging,data-lake-v2
LI-1052,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00c5a62,BoxUsage:c5.4xlarge,764.2352,Hrs,519.6799,USD,eu-central-1,OnDemand,data-platform,production,data-lake-v2
LI-1053,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00d6066,BoxUsage:c5.4xlarge,873.9533,Hrs,594.2883,USD,eu-central-1,OnDemand,data-platform,production,data-lake-v2
LI-1054,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00a4072,BoxUsage:m5.xlarge,846.5688,Hrs,162.5412,USD,eu-central-1,OnDemand,data-platform,production,data-lake-v2
LI-1055,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-002eab9,BoxUsage:m5.xlarge,894.7442,Hrs,171.7909,USD,eu-central-1,OnDemand,devops,staging,infra-automation
LI-1056,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00af948,BoxUsage:c5.4xlarge,817.3174,Hrs,555.7759,USD,eu-central-1,OnDemand,,,
LI-1057,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00846d1,BoxUsage:c5.4xlarge,890.5412,Hrs,605.568,USD,eu-central-1,OnDemand,,,
LI-1058,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00208ce,BoxUsage:m5.xlarge,905.0991,Hrs,173.779,USD,eu-central-1,OnDemand,,,
LI-1059,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00200ac,BoxUsage:c5.4xlarge,782.1126,Hrs,531.8366,USD,eu-central-1,OnDemand,devops,prod,infra-automation
LI-1060,2024-02,2024-02-01,2024-02-29,Amazon RDS,db-05708,InstanceUsage:db.m5.xlarge,885.6933,Hrs,203.7095,USD,eu-central-1,OnDemand,,,
LI-1061,2024-02,2024-02-01,2024-02-29,Amazon RDS,db-09701,InstanceUsage:db.t3.medium,846.5981,Hrs,57.5687,USD,eu-central-1,OnDemand,,,
LI-1062,2024-02,2024-02-01,2024-02-29,Amazon RDS,db-09e2f,InstanceUsage:db.m5.xlarge,871.9346,Hrs,200.545,USD,eu-central-1,OnDemand,data-platform,production,data-lake-v2
LI-1063,2024-02,2024-02-01,2024-02-29,Amazon RDS,db-129cd,InstanceUsage:db.r5.2xlarge,875.2126,Hrs,420.102,USD,eu-central-1,OnDemand,data-platform,prod,data-lake-v2
LI-1064,2024-02,2024-02-01,2024-02-29,Amazon RDS,db-15b4b,InstanceUsage:db.r5.2xlarge,834.0412,Hrs,400.3398,USD,eu-central-1,OnDemand,devops,staging,infra-automation
LI-1065,2024-02,2024-02-01,2024-02-29,Amazon RDS,db-034a6,InstanceUsage:db.r5.2xlarge,876.0603,Hrs,420.509,USD,eu-central-1,OnDemand,devops,staging,infra-automation
LI-1066,2024-02,2024-02-01,2024-02-29,Amazon S3,technova-raw-logs,TimedStorage-ByteHrs,79773.1771,GB-Mo,1834.7831,USD,eu-central-1,OnDemand,backend,prod,unknown
LI-1067,2024-02,2024-02-01,2024-02-29,Amazon S3,technova-data-lake,TimedStorage-ByteHrs,3287.2168,GB-Mo,75.606,USD,eu-central-1,OnDemand,,,
LI-1068,2024-02,2024-02-01,2024-02-29,Amazon S3,technova-artifacts,TimedStorage-ByteHrs,4706.1782,GB-Mo,108.2421,USD,eu-central-1,OnDemand,,,
LI-1069,2024-02,2024-02-01,2024-02-29,Amazon S3,technova-backups,TimedStorage-ByteHrs,1574.0868,GB-Mo,36.204,USD,eu-central-1,OnDemand,,,
LI-1070,2024-02,2024-02-01,2024-02-29,Amazon S3,technova-frontend-assets,TimedStorage-ByteHrs,2557.5106,GB-Mo,58.8227,USD,eu-central-1,OnDemand,backend,production,unknown
LI-1071,2024-02,2024-02-01,2024-02-29,AWS Lambda,fn-auth-handler,Lambda-GB-Second,1431738.8832,Requests,0.2863,USD,eu-central-1,OnDemand,backend,production,unknown
LI-1072,2024-02,2024-02-01,2024-02-29,AWS Lambda,fn-data-processor,Lambda-GB-Second,1258827.0411,Requests,0.2518,USD,eu-central-1,OnDemand,,,
LI-1073,2024-02,2024-02-01,2024-02-29,AWS Lambda,fn-api-gateway,Lambda-GB-Second,1821296.2605,Requests,0.3643,USD,eu-central-1,OnDemand,data-platform,development,unknown
LI-1074,2024-02,2024-02-01,2024-02-29,AWS Lambda,fn-event-router,Lambda-GB-Second,1157276.8595,Requests,0.2315,USD,eu-central-1,OnDemand,data-platform,prod,unknown
LI-1075,2024-02,2024-02-01,2024-02-29,AWS Lambda,fn-report-gen,Lambda-GB-Second,1501794.8056,Requests,0.3004,USD,eu-central-1,OnDemand,devops,production,unknown
LI-1076,2024-02,2024-02-01,2024-02-29,Amazon CloudFront,EDIST10001,DataTransfer-Out-Bytes,3478.539,GB,29.5676,USD,eu-central-1,OnDemand,devops,prod,unknown
LI-1077,2024-02,2024-02-01,2024-02-29,Amazon CloudFront,EDIST10002,DataTransfer-Out-Bytes,3545.8537,GB,30.1398,USD,eu-central-1,OnDemand,devops,development,unknown
LI-1078,2024-02,2024-02-01,2024-02-29,Amazon EKS,eks-prod-cluster,AmazonEKS-Hours:perCluster,907.68,Hrs,90.768,USD,eu-central-1,OnDemand,data-platform,prod,unknown
LI-1079,2024-02,2024-02-01,2024-02-29,Amazon EKS,eks-staging-cluster,AmazonEKS-Hours:perCluster,907.68,Hrs,90.768,USD,eu-central-1,OnDemand,,,
LI-1080,2024-02,2024-02-01,2024-02-29,Amazon ElastiCache,cache-001,NodeUsage:cache.r6g.large,836.8067,Hrs,138.9099,USD,eu-central-1,OnDemand,,,
LI-1081,2024-02,2024-02-01,2024-02-29,Amazon ElastiCache,cache-002,NodeUsage:cache.r6g.large,833.0423,Hrs,138.285,USD,eu-central-1,OnDemand,,,
LI-1082,2024-02,2024-02-01,2024-02-29,Amazon ElastiCache,cache-003,NodeUsage:cache.r6g.large,879.3458,Hrs,145.9714,USD,eu-central-1,OnDemand,,,
LI-1083,2024-02,2024-02-01,2024-02-29,AWS Data Transfer,data-transfer-main,DataTransfer-Out-Internet,3912.2005,GB,352.098,USD,eu-central-1,OnDemand,,,
LI-1084,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00bc1b7,BoxUsage:m5.xlarge,868.7149,Hrs,166.7933,USD,eu-central-1,OnDemand,backend,staging,api-core
LI-1085,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-0034ea3,BoxUsage:m5.large,853.3152,Hrs,81.9183,USD,eu-central-1,OnDemand,backend,,
LI-1086,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-001ed11,BoxUsage:m5.large,876.069,Hrs,109.3334,USD,eu-central-1,OnDemand,,,
LI-1087,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00d6404,BoxUsage:t3.medium,920.0388,Hrs,49.7557,USD,eu-central-1,OnDemand,backend,production,api-core
LI-1088,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-005ed25,BoxUsage:t3.medium,888.6539,Hrs,36.968,USD,eu-central-1,OnDemand,,,
LI-1089,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00571b3,BoxUsage:m5.xlarge,917.8109,Hrs,176.2197,USD,eu-central-1,OnDemand,backend,dev,api-core
LI-1090,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00518e5,BoxUsage:m5.large,998.1739,Hrs,95.8247,USD,eu-central-1,OnDemand,data-platform,staging,data-lake-v2
LI-1091,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-003c22c,BoxUsage:m5.2xlarge,1044.2089,Hrs,400.9762,USD,eu-central-1,OnDemand,data-platform,dev,data-lake-v2
LI-1092,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00d4f36,BoxUsage:m5.xlarge,882.4174,Hrs,169.4241,USD,eu-central-1,OnDemand,data-platform,dev,data-lake-v2
LI-1093,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-0032a71,BoxUsage:m5.2xlarge,900.1722,Hrs,345.6661,USD,eu-central-1,OnDemand,data-platform,production,data-lake-v2
LI-1094,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00c5a62,BoxUsage:c5.4xlarge,1023.0847,Hrs,695.6976,USD,eu-central-1,OnDemand,data-platform,staging,data-lake-v2
LI-1095,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00d6066,BoxUsage:m5.2xlarge,1011.7997,Hrs,388.5311,USD,eu-central-1,OnDemand,data-platform,development,data-lake-v2
LI-1096,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00a4072,BoxUsage:m5.2xlarge,891.2624,Hrs,342.2448,USD,eu-central-1,OnDemand,data-platform,dev,data-lake-v2
LI-1097,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-002eab9,BoxUsage:t3.medium,902.5676,Hrs,37.5468,USD,eu-central-1,OnDemand,,,
LI-1098,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00af948,BoxUsage:t3.medium,917.2967,Hrs,38.1595,USD,eu-central-1,OnDemand,devops,prod,infra-automation
LI-1099,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00846d1,BoxUsage:t3.medium,1036.7027,Hrs,43.1268,USD,eu-central-1,OnDemand,,,
LI-1100,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00208ce,BoxUsage:t3.medium,882.2564,Hrs,36.7019,USD,eu-central-1,OnDemand,devops,development,infra-automation
LI-1101,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00200ac,BoxUsage:m5.xlarge,868.0101,Hrs,166.6579,USD,eu-central-1,OnDemand,devops,,
LI-1102,2024-03,2024-03-01,2024-03-31,Amazon RDS,db-05708,InstanceUsage:db.m5.xlarge,1029.7673,Hrs,236.8465,USD,eu-central-1,OnDemand,backend,,
LI-1103,2024-03,2024-03-01,2024-03-31,Amazon RDS,db-09701,InstanceUsage:db.m5.xlarge,969.2359,Hrs,222.9243,USD,eu-central-1,OnDemand,backend,staging,api-core
LI-1104,2024-03,2024-03-01,2024-03-31,Amazon RDS,db-09e2f,InstanceUsage:db.t3.medium,962.8054,Hrs,65.4708,USD,eu-central-1,OnDemand,data-platform,,
LI-1105,2024-03,2024-03-01,2024-03-31,Amazon RDS,db-129cd,InstanceUsage:db.m5.xlarge,1042.3239,Hrs,239.7345,USD,eu-central-1,OnDemand,data-platform,staging,data-lake-v2
LI-1106,2024-03,2024-03-01,2024-03-31,Amazon RDS,db-15b4b,InstanceUsage:db.t3.medium,997.7203,Hrs,67.845,USD,eu-central-1,OnDemand,devops,development,infra-automation
LI-1107,2024-03,2024-03-01,2024-03-31,Amazon RDS,db-034a6,InstanceUsage:db.m5.xlarge,987.1277,Hrs,227.0394,USD,eu-central-1,OnDemand,devops,development,infra-automation
LI-1108,2024-03,2024-03-01,2024-03-31,Amazon S3,technova-raw-logs,TimedStorage-ByteHrs,139180.4935,GB-Mo,3201.1514,USD,eu-central-1,OnDemand,,,
LI-1109,2024-03,2024-03-01,2024-03-31,Amazon S3,technova-data-lake,TimedStorage-ByteHrs,2994.8561,GB-Mo,68.8817,USD,eu-central-1,OnDemand,,,
LI-1110,2024-03,2024-03-01,2024-03-31,Amazon S3,technova-artifacts,TimedStorage-ByteHrs,3547.9308,GB-Mo,81.6024,USD,eu-central-1,OnDemand,devops,prod,unknown
LI-1111,2024-03,2024-03-01,2024-03-31,Amazon S3,technova-backups,TimedStorage-ByteHrs,2327.3383,GB-Mo,53.5288,USD,eu-central-1,OnDemand,data-platform,development,unknown
LI-1112,2024-03,2024-03-01,2024-03-31,Amazon S3,technova-frontend-assets,TimedStorage-ByteHrs,2434.4967,GB-Mo,55.9934,USD,eu-central-1,OnDemand,devops,development,unknown
LI-1113,2024-03,2024-03-01,2024-03-31,AWS Lambda,fn-auth-handler,Lambda-GB-Second,1162679.0253,Requests,0.2325,USD,eu-central-1,OnDemand,devops,dev,unknown
LI-1114,2024-03,2024-03-01,2024-03-31,AWS Lambda,fn-data-processor,Lambda-GB-Second,1488276.1175,Requests,0.2977,USD,eu-central-1,OnDemand,,,
LI-1115,2024-03,2024-03-01,2024-03-31,AWS Lambda,fn-api-gateway,Lambda-GB-Second,640080.8001,Requests,0.128,USD,eu-central-1,OnDemand,backend,development,unknown
LI-1116,2024-03,2024-03-01,2024-03-31,AWS Lambda,fn-event-router,Lambda-GB-Second,1709844.3419,Requests,0.342,USD,eu-central-1,OnDemand,,,
LI-1117,2024-03,2024-03-01,2024-03-31,AWS Lambda,fn-report-gen,Lambda-GB-Second,867263.8161,Requests,0.1735,USD,eu-central-1,OnDemand,backend,dev,unknown
LI-1118,2024-03,2024-03-01,2024-03-31,Amazon CloudFront,EDIST10001,DataTransfer-Out-Bytes,10156.1713,GB,86.3275,USD,eu-central-1,OnDemand,devops,dev,unknown
LI-1119,2024-03,2024-03-01,2024-03-31,Amazon CloudFront,EDIST10002,DataTransfer-Out-Bytes,5354.5738,GB,45.5139,USD,eu-central-1,OnDemand,,,
LI-1120,2024-03,2024-03-01,2024-03-31,Amazon EKS,eks-prod-cluster,AmazonEKS-Hours:perCluster,1049.04,Hrs,104.904,USD,eu-central-1,OnDemand,backend,dev,unknown
LI-1121,2024-03,2024-03-01,2024-03-31,Amazon EKS,eks-staging-cluster,AmazonEKS-Hours:perCluster,1049.04,Hrs,104.904,USD,eu-central-1,OnDemand,,,
LI-1122,2024-03,2024-03-01,2024-03-31,Amazon ElastiCache,cache-001,NodeUsage:cache.r6g.large,963.3317,Hrs,159.9131,USD,eu-central-1,OnDemand,,,
LI-1123,2024-03,2024-03-01,2024-03-31,Amazon ElastiCache,cache-002,NodeUsage:cache.r6g.large,999.9911,Hrs,165.9985,USD,eu-central-1,OnDemand,devops,prod,unknown
LI-1124,2024-03,2024-03-01,2024-03-31,Amazon ElastiCache,cache-003,NodeUsage:cache.r6g.large,1044.5316,Hrs,173.3922,USD,eu-central-1,OnDemand,devops,prod,unknown
LI-1125,2024-03,2024-03-01,2024-03-31,AWS Data Transfer,data-transfer-main,DataTransfer-Out-Internet,6094.4101,GB,548.4969,USD,eu-central-1,OnDemand,backend,dev,unknown
